100 4950
0 1 3
0 2 8
0 3 3
0 4 7
0 5 1
0 6 2
0 7 9
0 8 2
0 9 1
0 10 1
0 11 1
0 12 5
0 13 4
0 14 2
0 15 7
0 16 4
0 17 10
0 18 6
0 19 6
0 20 2
0 21 7
0 22 7
0 23 8
0 24 8
0 25 8
0 26 1
0 27 9
0 28 7
0 29 6
0 30 8
0 31 3
0 32 5
0 33 5
0 34 1
0 35 10
0 36 8
0 37 6
0 38 3
0 39 8
0 40 6
0 41 9
0 42 8
0 43 3
0 44 3
0 45 9
0 46 6
0 47 7
0 48 2
0 49 4
0 50 7
0 51 5
0 52 1
0 53 10
0 54 1
0 55 9
0 56 3
0 57 9
0 58 10
0 59 6
0 60 7
0 61 7
0 62 5
0 63 2
0 64 8
0 65 8
0 66 2
0 67 5
0 68 5
0 69 2
0 70 10
0 71 6
0 72 2
0 73 9
0 74 7
0 75 1
0 76 10
0 77 3
0 78 9
0 79 3
0 80 1
0 81 9
0 82 2
0 83 8
0 84 10
0 85 5
0 86 10
0 87 3
0 88 4
0 89 2
0 90 5
0 91 5
0 92 8
0 93 4
0 94 2
0 95 8
0 96 3
0 97 4
0 98 1
0 99 10
2 1 6
2 3 9
2 4 2
2 5 6
2 6 7
2 7 10
2 8 3
2 9 4
2 10 6
2 11 1
2 12 7
2 13 8
2 14 4
2 15 8
2 16 3
2 17 1
2 18 1
2 19 9
2 20 3
2 21 6
2 22 3
2 23 7
2 24 2
2 25 8
2 26 3
2 27 3
2 28 8
2 29 10
2 30 2
2 31 8
2 32 9
2 33 7
2 34 10
2 35 8
2 36 8
2 37 6
2 38 6
2 39 1
2 40 2
2 41 4
2 42 9
2 43 1
2 44 8
2 45 1
2 46 7
2 47 9
2 48 7
2 49 10
2 50 2
2 51 3
2 52 6
2 53 2
2 54 5
2 55 2
2 56 4
2 57 3
2 58 3
2 59 2
2 60 6
2 61 10
2 62 7
2 63 4
2 64 8
2 65 9
2 66 5
2 67 6
2 68 10
2 69 2
2 70 6
2 71 9
2 72 4
2 73 9
2 74 1
2 75 10
2 76 1
2 77 4
2 78 7
2 79 3
